Modelo,MAPE,POCID,PBE,"MASE(2020,2021,2022,2023,2024)",RRMSE
MODEL,0.34067055378175315,47.45762711864407,22.945095791227303,"1.6665, 0.9360, 0.3960, 1.6761, 1.2481",0.4772072061446053
MODEL,0.2586040602987534,62.71186440677966,9.36069051047452,"0.4306, 1.6145, 0.3111, 1.6434, 0.8193",0.37894986416694393
MODEL,0.4220403055009519,45.76271186440678,40.803303628556854,"2.1913, 1.6896, 0.8791, 2.5041, 1.8034",1.189451952037578
MODEL,1.133590807689566,57.6271186440678,-56.051848725592045,"1.1748, 0.5948, 1.0637, 2.2030, 1.6652",0.12203475722682475
MODEL,0.23471745780023479,59.32203389830509,10.346180466384492,"1.8509, 1.2942, 0.3527, 1.3334, 0.8738",0.5075198588064568
MODEL,0.3203661688088311,50.847457627118644,3.963101335700266,"1.1558, 1.8828, 0.4343, 2.0426, 1.1640",0.4578403245209112
MODEL,0.8696821422826918,57.6271186440678,-13.344782589539978,"0.9726, 1.0645, 1.9060, 1.0924, 0.8600",0.8152016140555299
MODEL,0.538173263297013,42.3728813559322,-4.808036235180635,"0.5031, 1.1984, 1.7665, 1.0930, 1.0241",0.514703789292491
MODEL,0.19439693430301058,62.71186440677966,11.038023116733124,"3.2565, 1.1965, 0.8757, 1.8435, 0.5885",0.5650896309956084
MODEL,0.3902060776799059,55.932203389830505,14.613190582575008,"1.0887, 0.8882, 1.1408, 1.0974, 1.0473",0.46063422116120384
MODEL,0.27894273426682487,54.23728813559322,30.621005882608443,"2.1952, 2.4557, 0.3205, 1.6913, 0.9438",0.8771507045436465
MODEL,0.31751508464106737,64.40677966101696,4.342983260427663,"0.3217, 1.0533, 1.1127, 2.6030, 0.8906",0.6563703032302045
MODEL,0.15529186387293778,55.932203389830505,2.153032637874936,"1.6044, 1.2516, 1.2184, 0.6084, 0.3545",0.5053258863319123
MODEL,0.29421164405166356,44.067796610169495,10.483743825676767,"0.6128, 0.9102, 0.3262, 2.4707, 1.0860",0.4101022708219675
MODEL,0.39448552376288876,54.23728813559322,-0.558588321372693,"1.1363, 1.1495, 0.9757, 1.6280, 0.7611",0.6784794516559645
MODEL,0.25145244077003787,57.6271186440678,-2.566899572656632,"0.5285, 1.0082, 0.4687, 1.1800, 0.6192",0.3553443831766017
MODEL,0.23321456161870824,47.45762711864407,3.528457938094196,"0.6049, 0.8331, 0.7386, 0.9511, 0.5207",0.539502874679871
MODEL,0.4473477971775272,57.6271186440678,-10.512030602960333,"4.3721, 1.2408, 2.1648, 0.6399, 0.7972",0.7320834460478558
MODEL,0.20982200210922577,61.016949152542374,-1.859358100093379,"0.5175, 0.6765, 0.7148, 3.2456, 1.1832",0.3308504766734407
MODEL,0.3771909074917555,47.45762711864407,-19.606701807541103,"0.4792, 1.4561, 0.9478, 1.2832, 0.9983",0.4212829078102237
MODEL,0.4080760332816963,47.45762711864407,12.664921501537252,"1.4297, 1.2687, 0.6192, 0.6803, 1.1989",0.28579659763878823
MODEL,0.375333604505127,49.152542372881356,13.469115242126792,"0.5991, 1.3828, 0.8422, 1.7552, 0.9810",0.3888359595104378
MODEL,0.8666102299381351,66.10169491525424,-29.46959391764665,"1.1708, 0.8920, 5.3974, 8.5894, 1.4319",0.16789770653712802
MODEL,0.9451352461570826,59.32203389830509,-39.97648023950947,"2.2293, 4.1463, 4.0664, 3.9250, 0.7161",0.3597480054497624
MODEL,0.3707743627337493,47.45762711864407,10.921203160216555,"1.4574, 0.7259, 0.9200, 1.6425, 0.5644",0.5414042562822368
MODEL,0.16974871470160396,55.932203389830505,6.430164440555849,"0.4390, 1.4106, 0.4678, 1.4485, 2.0245",0.3431389185145727
MODEL,0.30187519934723345,57.6271186440678,12.523284987550824,"0.4034, 1.4133, 0.5176, 2.7430, 1.0211",0.4410717870649874
MODEL,0.1188406345611078,81.35593220338983,6.555063454226194,"3.5418, 1.1929, 1.4653, 1.3906, 0.6158",0.24879320222168239
MODEL,0.07189463817533738,67.79661016949153,2.083109221892238,"0.5476, 1.1524, 0.7600, 0.7336, 0.7330",0.15371956152291963
MODEL,0.12042516222737441,66.10169491525424,-6.358846796712056,"0.6823, 1.0059, 0.6009, 1.5323, 1.5420",0.22542979813955424
MODEL,0.13526864851831513,71.1864406779661,10.597263503370542,"1.6933, 1.1194, 0.9224, 5.7862, 0.7932",0.36667179487215523
MODEL,0.12674431172931042,74.57627118644068,8.91945935919665,"2.5653, 1.3199, 1.3221, 2.0804, 0.8891",0.24220774113497226
MODEL,0.09393764910228873,74.57627118644068,2.5839475895837007,"1.3395, 1.1194, 0.7427, 0.4581, 1.8996",0.20778644595013968
MODEL,0.14584424327815793,76.27118644067797,-11.620061948301787,"1.3732, 1.5774, 0.3219, 0.6322, 1.2349",0.24949942794752936
MODEL,0.12138897811095349,72.88135593220339,5.266905067128269,"3.2777, 1.2810, 1.2105, 0.4638, 4.0108",0.23938885033669666
MODEL,0.13528662655702134,66.10169491525424,-2.967629910804127,"3.6085, 1.2065, 0.6497, 1.1306, 0.3535",0.2153939206671299
MODEL,0.11261295333977446,77.96610169491525,-1.8752461750207907,"9.4107, 1.8232, 0.5783, 0.7404, 0.3705",0.3158775753642795
MODEL,0.08376553853119781,79.66101694915254,2.526480117814328,"0.7224, 0.7798, 0.6269, 0.9946, 0.4466",0.14783926212859402
MODEL,0.09381691376523368,69.49152542372882,-1.0160936067598354,"0.3733, 0.6144, 1.3512, 1.0902, 1.0787",0.21552706031902433
MODEL,0.11645684244880233,67.79661016949153,8.139793951986293,"0.4542, 0.7562, 1.1441, 2.5726, 0.8549",0.2700217868057423
MODEL,0.08408090817844291,79.66101694915254,4.979837504952201,"0.5955, 1.1392, 1.7660, 0.9460, 0.6209",0.21711424274924218
MODEL,0.15063094919711015,74.57627118644068,9.884590977219023,"3.2132, 1.1758, 1.5385, 1.1459, 1.6790",0.2949898148968526
MODEL,0.1299481089093462,71.1864406779661,5.7083915100367095,"2.4168, 1.2360, 2.2589, 0.8005, 0.6314",0.25192144490052826
MODEL,0.11102635286300248,79.66101694915254,4.243470052212606,"3.1391, 1.3072, 0.4330, 0.9736, 1.2944",0.24841280169676155
MODEL,0.1652437429982325,54.23728813559322,14.897977744214804,"1.8841, 2.4708, 1.0622, 1.8359, 1.4624",0.30029554197302655
MODEL,0.1453197498856006,71.1864406779661,2.50625761548095,"1.1568, 1.9248, 0.5823, 0.8372, 0.9464",0.17890231422747663
